Date,Not indexed,Indexed,Impressions
2025-11-05,,,0
2025-11-06,,,1
2025-11-07,1,2,9
2025-11-08,3,4,27
2025-11-09,3,4,26
2025-11-10,3,4,43
2025-11-11,4,3,25
2025-11-12,4,3,49
2025-11-13,4,3,16
2025-11-14,4,3,22
2025-11-15,4,3,54
2025-11-16,4,3,28
2025-11-17,4,3,32
